station_name,latitude,longitude
Releasesite1,55.4062,12.291033
Releasesite2,55.407583,12.295033
Releasesite3,55.40695,12.3004
Releasesite4,55.40425,12.304317
Releasesite5,55.402133,12.3056
Johnring,55.403733,12.29945
Sound1,56.0470833,12.61685
Sound2,56.04825,12.6187667
Sound2.5,56.04847,12.62524
Sound3,56.0515333,12.6251667
Sound4,56.0587,12.63245
Sound5,56.0622667,12.6413833
Sound6,56.05462,12.6503
Sound7,56.0684833,12.6631833
Sound8,56.05627,12.66617
Sound10,56.05746,12.67719
Sound12,56.05195,12.63706
S0,56.04158,12.62479
S1,56.04265,12.63042
S2,56.04361,12.63891
S3,56.04383,12.64825
S4,56.04414,12.65641
S5,56.04455,12.66497
S6,56.04607,12.67369
S7,56.04816,12.67938
Lillebfyn,55.515284,9.707506
Lilleb2,55.518133,9.711017
LB2,55.518133,9.711017
Lilleb3,55.516467,9.709167
LB1,55.516467,9.709167
Lillebjylland,55.519427,9.712329
UpLB1,55.519737,9.745203
UpLB2,55.517902,9.754301
VB1,55.299967,10.855533
VB2,55.301233,10.862217
VB3,55.302517,10.8688
VB4,55.303667,10.874517
VB5,55.3051,10.881
VB6,55.306417,10.886617
VB7,55.308017,10.893017
VB8,55.30965,10.899317
VB9,55.31115,10.904767
VB10,55.312967,10.910983
VB11,55.314733,10.916733
VB12,55.31655,10.92235
VB13,55.318583,10.9284
VB14,55.3204,10.9335
VB15,55.322583,10.93935
VB16,55.32425,10.943683
OB1,55.336348,10.993201
GOB1,55.336348,10.993201
NOB1,55.336348,10.993201
OB2,55.337102,10.999155
GOB2,55.337102,10.999155
NOB2,55.33775,11.00209
OB3,55.337898,11.005244
GOB3,55.337898,11.005244
NOB3,55.33854,11.0094
OB4,55.33925,11.011447
GOB4,55.33925,11.011447
NOB4,55.33987,11.01941
OB5,55.34029,11.023429
GOB6,55.340183,11.022925
NOB5,55.34059,11.02307
GOB7,55.34029,11.023429
STSUB1,55.341383,11.030783
GOB8,55.341383,11.030783
NOB6,55.341383,11.030783
STSUB2,55.34255,11.041117
NOB7,55.34255,11.041117
UpOB1,55.34561,11.02571
UpOB2,55.34733,11.03565
UpOB3,55.34843,11.04612
OB6,55.34493,11.05586
GOB10,55.343497,11.048047
NOB8,55.343809,11.04816
GOB11,55.343539,11.048588
NOB9,55.34404,11.05215
OB8,55.34493,11.05586
GOB12,55.34493,11.05586
GOB13,55.345248,11.060546
OB9,55.345248,11.060546
NOB10,55.34532,11.06194
NOB11,55.34631,11.06944
NOB12,55.3475,11.07833
NOB13,55.34864,11.08719
NOB14,55.349103,11.090549
GOB14,55.34609,11.06658
GOB15,55.34684,11.072364
GOB16,55.347563,11.078227
GOB17,55.34816,11.084203
GOB18,55.349103,11.090549
