"","W3","W2","W4","W5","W6","W7","W8","W1","rel_warnow"
"W3",0,21628.3848260242,566.103216557316,3882.63439842861,4082.75319681119,16917.0872855205,16875.6208805723,28651.9738017768,25952.8677820104
"W2",21628.3848260242,0,22194.4880425815,25511.0192244528,25711.1380228353,38545.4721115447,38504.0057065965,7023.58897575266,4324.4829559862
"W4",566.103216557316,22194.4880425815,0,3316.53118187143,3516.64998025401,16350.9840689634,16309.5176640152,29218.0770183341,26518.9709985677
"W5",3882.63439842861,25511.0192244528,3316.53118187143,0,200.11879838258,13034.4528870919,12992.9864821437,32534.6082002054,29835.502180439
"W6",4082.75319681119,25711.1380228353,3516.64998025401,200.11879838258,0,12834.3340887093,12792.8676837611,32734.726998588,30035.6209788216
"W7",16917.0872855205,38545.4721115447,16350.9840689634,13034.4528870919,12834.3340887093,0,100.088310360443,45569.0610872973,42869.9550675309
"W8",16875.6208805723,38504.0057065965,16309.5176640152,12992.9864821437,12792.8676837611,100.088310360443,0,45527.5946823491,42828.4886625827
"W1",28651.9738017768,7023.58897575266,29218.0770183341,32534.6082002054,32734.726998588,45569.0610872973,45527.5946823491,0,2757.72792517856
"rel_warnow",25952.8677820104,4324.4829559862,26518.9709985677,29835.502180439,30035.6209788216,42869.9550675309,42828.4886625827,2757.72792517856,0
