"","151 FLO CRUZ","155 FLO CRUZ","rel_cruz5","rel_cruz6","rel_cruz3","149 FLO CRUZ","rel_cruz4","148 FLO CRUZ","rel_cruz2","156 FLO CRUZ","154 FLO CRUZ","152 FLO CRUZ","146 FLO CRUZ","rel_cruz7","rel_cruz1","rel_cruz8","rel_cruz9","rel_cruz10"
"151 FLO CRUZ",0,1808.2708664369,0,334.042838429146,667.857989391129,667.857989391129,576.065668155233,859.879878775987,859.879878775987,1369.92034137184,1119.34642099804,363.546541390742,960.109446925279,1369.92034137184,1808.2708664369,1541.10346217646,1662.17179890613,1662.17179890613
"155 FLO CRUZ",1808.2708664369,0,1808.2708664369,1515.67787770134,2446.73899660001,2446.73899660001,2354.94667536412,2638.76088598487,2638.76088598487,697.589379820217,718.314304667013,1444.72432504616,2738.99045413416,697.589379820217,0,868.772500624834,989.840837354504,989.840837354504
"rel_cruz5",0,1808.2708664369,0,334.042838429146,667.857989391129,667.857989391129,576.065668155233,859.879878775987,859.879878775987,1369.92034137184,1119.34642099804,363.546541390742,960.109446925279,1369.92034137184,1808.2708664369,1541.10346217646,1662.17179890613,1662.17179890613
"rel_cruz6",334.042838429146,1515.67787770134,334.042838429146,0,972.510968592262,972.510968592262,880.718647356365,1164.53285797712,1164.53285797712,1077.32735263629,826.753432262483,70.9535526551882,1264.76242612641,1077.32735263629,1515.67787770135,1248.5104734409,1369.57881017057,1369.57881017057
"rel_cruz3",667.857989391129,2446.73899660001,667.857989391129,972.510968592262,0,0,121.182180463911,192.021889384858,192.021889384858,2008.38847153496,1757.81455116115,1002.01467155386,292.251457534287,2008.38847153496,2446.73899660001,2179.57159233957,2300.63992906924,2300.63992906924
"149 FLO CRUZ",667.857989391129,2446.73899660001,667.857989391129,972.510968592262,0,0,121.182180463911,192.021889384858,192.021889384858,2008.38847153496,1757.81455116115,1002.01467155386,292.251457534287,2008.38847153496,2446.73899660001,2179.57159233957,2300.63992906924,2300.63992906924
"rel_cruz4",576.065668155233,2354.94667536412,576.065668155233,880.718647356365,121.182180463911,121.182180463911,0,283.814210620754,283.814210620754,1916.59615029906,1666.02222992526,910.222350317961,384.043778770046,1916.59615029906,2354.94667536412,2087.77927110368,2208.84760783335,2208.84760783335
"148 FLO CRUZ",859.879878775987,2638.76088598487,859.879878775987,1164.53285797712,192.021889384858,192.021889384858,283.814210620754,0,0,2200.41036091981,1949.83644054601,1194.03656093872,100.229568149429,2200.41036091981,2638.76088598487,2371.59348172443,2492.6618184541,2492.6618184541
"rel_cruz2",859.879878775987,2638.76088598487,859.879878775987,1164.53285797712,192.021889384858,192.021889384858,283.814210620754,0,0,2200.41036091981,1949.83644054601,1194.03656093872,100.229568149429,2200.41036091981,2638.76088598487,2371.59348172443,2492.6618184541,2492.6618184541
"156 FLO CRUZ",1369.92034137184,697.589379820217,1369.92034137184,1077.32735263629,2008.38847153496,2008.38847153496,1916.59615029906,2200.41036091981,2200.41036091981,0,250.573920373805,1006.3737999811,2300.63992906911,0,697.589379820217,171.183120804617,292.251457534287,292.251457534287
"154 FLO CRUZ",1119.34642099804,718.314304667013,1119.34642099804,826.753432262483,1757.81455116115,1757.81455116115,1666.02222992526,1949.83644054601,1949.83644054601,250.573920373805,0,755.799879607295,2050.0660086953,250.573920373805,718.314304667014,421.757041178422,542.825377908092,542.825377908092
"152 FLO CRUZ",363.546541390742,1444.72432504616,363.546541390742,70.9535526551882,1002.01467155386,1002.01467155386,910.222350317961,1194.03656093872,1194.03656093872,1006.3737999811,755.799879607295,0,1294.26612908801,1006.3737999811,1444.72432504616,1177.55692078572,1298.62525751539,1298.62525751539
"146 FLO CRUZ",960.109446925279,2738.99045413416,960.109446925279,1264.76242612641,292.251457534287,292.251457534287,384.043778770046,100.229568149429,100.229568149429,2300.63992906911,2050.0660086953,1294.26612908801,0,2300.63992906911,2738.99045413416,2471.82304987372,2592.89138660339,2592.89138660339
"rel_cruz7",1369.92034137184,697.589379820217,1369.92034137184,1077.32735263629,2008.38847153496,2008.38847153496,1916.59615029906,2200.41036091981,2200.41036091981,0,250.573920373805,1006.3737999811,2300.63992906911,0,697.589379820217,171.183120804617,292.251457534287,292.251457534287
"rel_cruz1",1808.2708664369,0,1808.2708664369,1515.67787770135,2446.73899660001,2446.73899660001,2354.94667536412,2638.76088598487,2638.76088598487,697.589379820217,718.314304667014,1444.72432504616,2738.99045413416,697.589379820217,0,868.772500624834,989.840837354504,989.840837354504
"rel_cruz8",1541.10346217646,868.772500624834,1541.10346217646,1248.5104734409,2179.57159233957,2179.57159233957,2087.77927110368,2371.59348172443,2371.59348172443,171.183120804617,421.757041178422,1177.55692078572,2471.82304987372,171.183120804617,868.772500624834,0,121.06833672967,121.06833672967
"rel_cruz9",1662.17179890613,989.840837354504,1662.17179890613,1369.57881017057,2300.63992906924,2300.63992906924,2208.84760783335,2492.6618184541,2492.6618184541,292.251457534287,542.825377908092,1298.62525751539,2592.89138660339,292.251457534287,989.840837354504,121.06833672967,0,0
"rel_cruz10",1662.17179890613,989.840837354504,1662.17179890613,1369.57881017057,2300.63992906924,2300.63992906924,2208.84760783335,2492.6618184541,2492.6618184541,292.251457534287,542.825377908092,1298.62525751539,2592.89138660339,292.251457534287,989.840837354504,121.06833672967,0,0
