"","R1","R2","R3","R7","R8","R4","R5","R6","rel_mondego"
"R1",0,24952.1806886414,25676.0634373875,70313.513150294,73135.9264227719,42632.0857148711,69772.4404737522,70113.647276485,1671.88164294509
"R2",24952.1806886414,0,723.882748746125,45361.3324616526,48183.7457341305,17679.9050262297,44820.2597851107,45161.4665878436,26624.0623315865
"R3",25676.0634373875,723.882748746125,0,44637.4497129067,47459.8629853846,16956.0222774839,44096.3770363649,44437.5838390977,27347.9450803326
"R7",70313.513150294,45361.3324616526,44637.4497129067,0,2822.41327247793,27681.4274354228,541.072676541842,199.865873808973,71985.394793239
"R8",73135.9264227719,48183.7457341305,47459.8629853846,2822.41327247793,0,30503.8407079007,3363.48594901977,3022.2791462869,74807.808065717
"R4",42632.0857148711,17679.9050262297,16956.0222774839,27681.4274354228,30503.8407079007,0,27140.354758881,27481.5615616138,44303.9673578162
"R5",69772.4404737522,44820.2597851107,44096.3770363649,541.072676541842,3363.48594901977,27140.354758881,0,341.206802732869,71444.3221166972
"R6",70113.647276485,45161.4665878436,44437.5838390977,199.865873808973,3022.2791462869,27481.5615616138,341.206802732869,0,71785.5289194301
"rel_mondego",1671.88164294509,26624.0623315865,27347.9450803326,71985.394793239,74807.808065717,44303.9673578162,71444.3221166972,71785.5289194301,0
